"speciescode","genus","species","community","seed_mass"
"carl.line","Carlowrightia","linearifolia","Shrub",NA
"tria.port","Trianthema","portulacastrum","Summer Annual",NA
"amar.palm","Amaranthus","palmeri","Summer Annual",NA
"atri.acan","Atriplex","acanthocarpa","Shrub",NA
"atri.cane","Atriplex","canescens","Shrub",NA
"atri.eleg","Atriplex","elegans","Summer Annual",NA
"atri.wrig","Atriplex","wrightii","Summer Annual",NA
"chen.frem","Chenopodium","fremontii","Summer and Winter Annual",0.39
"chen.sp","Chenopodium","sp.","Unknown",NA
"bray.dens","Guilleminea","densa","Perennial Forb",NA
"sals.kali","Kali","tragus","Summer Annual",NA
"euro.lana","Krascheninnikovia","lanata","Shrub",NA
"tide.lanu","Tidestromia","lanuginosa","Summer Annual",NA
"tide.sp","Tidestromia","sp.","Unknown",NA
"sper.echi","Spermolepis","echinata","Winter Annual",0.62
"funa.hart","Funastrum","hartwegii","Perennial Forb",NA
"dich.pulc","Dichlostemma","capitatum","Perennial Forb",NA
"yucc.elat","Yucca","elata","Shrub",NA
"ambr.arte","Ambrosia","artemisiifolia","Summer and Winter Annual",3.99
"ambr.conf","Ambrosia","confertiflora","Perennial Forb",NA
"ambr.sals","Ambrosia","salsola","Shrub",NA
"bahi.absi","Bahia","absinthifolia","Perennial Forb",NA
"bahi.bite","Bahia","biternata","Summer Annual",NA
"bail.mult","Baileya","multiradiata","Summer and Winter Annual",0.43
"bric.eupa","Brickellia","eupatorioides","Subshrub",NA
"caly.wrig","Calycoseris","wrightii","Winter Annual",0.72
"chae.stev","Chaenactis","stevioides","Winter Annual",0.47
"chae.eric","Chaetopappa","ericoides","Perennial Forb",NA
"cirs.neom","Cirsium","neomexicanum","Perennial Forb",NA
"erig.conc","Erigeron","concinnus","Subshrub",NA
"erig.dive","Erigeron","divergens","Summer and Winter Annual",0.03
"erig.sp","Erigeron","sp.","Unknown",NA
"flou.cern","Flourensia","cernua","Shrub",NA
"guti.saro","Gutierrezia","microcephala","Shrub",NA
"hapl.sp","Haplopappus","sp.","Subshrub",NA
"hapl.spin","Haplopappus","spinulosus","Subshrub",NA
"heli.annu","Helianthus","annuus","Summer Annual",NA
"hete.suba","Heterotheca","subaxillaris","Summer and Winter Annual",NA
"hapl.tenu","Isocoma","tenuisecta","Subshrub",NA
"laen.coul","Laennecia","coulteri","Summer and Winter Annual",NA
"hapl.grac","Machaeranthera","gracilis","Summer and Winter Annual",0.18
"mach.tanr","Machaeranthera","tagetina","Summer Annual",NA
"mala.fend","Malacothrix","fendleri","Winter Annual",0.1
"mala.sp","Malacothrix","sp.","Winter Annual",NA
"part.inca","Parthenium","incanum","Shrub",NA
"pect.papp","Pectis","papposa","Summer Annual",NA
"pere.nana","Perezia","nana","Perennial Forb",NA
"pseu.cane","Pseudognaphalium","canescens","Summer and Winter Annual",NA
"rafi.neom","Rafinesquia","neomexicana","Summer and Winter Annual",NA
"sanv.aber","Sanvitalia","aberti","Summer Annual",NA
"step.exig","Stephanomeria","exigua","Winter Annual",0.64
"dyss.pent","Thymophylla","pentachaeta","Subshrub",NA
"micr.lene","Uropappus","lindleyi","Winter Annual",NA
"micr.sp","Uropappus","sp.","Winter Annual",NA
"verb.ence","Verbesina","encelioides","Summer Annual",NA
"xant.spin","Xanthisma","spinulosum","Subshrub",NA
"zinn.pumi","Zinnia","acerosa","Subshrub",NA
"zinn.gran","Zinnia","grandiflora","Subshrub",NA
"zinn.sp","Zinnia","sp.","Subshrub",NA
"amsi.inte","Amsinckia","menziesii","Winter Annual",NA
"amsi.sp","Amsinckia","sp.","Winter Annual",NA
"amsi.tess","Amsinckia","tessellata","Winter Annual",NA
"cryp.cras","Cryptantha","crassisepala","Winter Annual",0.3
"cryp.micr","Cryptantha","micrantha","Winter Annual",0.02
"cryp.sp","Cryptantha","sp.","Winter Annual",NA
"cryp.sp2","Cryptantha","sp.","Winter Annual",NA
"lapp.redo","Lappula","occidentalis","Winter Annual",NA
"nama.hisp","Nama","hispidum","Winter Annual",NA
"pect.recu","Pectocarya","recurvata","Winter Annual",0.95
"pect.sp","Pectocarya","sp.","Winter Annual",NA
"phac.ariz","Phacelia","arizonica","Winter Annual",NA
"plag.ariz","Plagiobothrys","arizonicus","Winter Annual",1.83
"chor.tene","Chorispora","tenella","Winter Annual",NA
"desc.obtu","Descurainia","obtusa","Winter Annual",NA
"desc.pinn","Descurainia","pinnata","Winter Annual",0.1
"desc.sp","Descurainia","sp.","Winter Annual",NA
"dith.wisl","Dimorphocarpa","wislizeni","Summer and Winter Annual",3.2
"lepi.lasi","Lepidium","lasiocarpum","Winter Annual",0.3
"lepi.sp","Lepidium","sp.","Winter Annual",NA
"lesq.gord","Physaria","gordoni","Winter Annual",NA
"sisy.irio","Sisymbrium","irio","Winter Annual",NA
"unkn.must","Unknown","mustard","Winter Annual",NA
"cyli.fulg","Cylindropuntia","fulgida","Shrub",NA
"cyli.sp","Cylindropuntia","sp.","Shrub",NA
"opun.basi","Opuntia","basilaris","Shrub",NA
"opun.poly","Opuntia","polyacantha","Shrub",NA
"opun.sp","Opuntia","sp.","Shrub",NA
"comm.erec","Commelina","erecta","Shrub",NA
"cusc.mitr","Cuscuta","mitriformis","Perennial Forb",NA
"cusc.sp","Cuscuta","sp.","Summer Annual",NA
"cusc.tube","Cuscuta","tuberculata","Perennial Forb",NA
"ipom.cost","Ipomoea","costellata","Summer Annual",NA
"apod.undu","Apodanthera","undulata","Perennial Forb",NA
"ephe.trif","Ephedra","trifurca","Shrub",NA
"crot.cory","Croton","potsii","Subshrub",NA
"euph.exst","Euphorbia","exstipulata","Summer Annual",NA
"euph.fend","Euphorbia","fendleri","Summer Annual",NA
"euph.micr","Euphorbia","micromera","Summer Annual",NA
"euph.serp","Euphorbia","serpyllifolia","Summer Annual",NA
"euph.serr","Euphorbia","serrula","Summer Annual",NA
