"year","treatment","season","amar palm","ambr arte","amsi inte","amsi tess","aris adsc","astr allo","astr nutt","atri eleg","bahi bite","bail mult","boer coul","boer inte","boer torr","bout aris","bout barb","caly wrig","cass lept","chae stev","chen frem","chlo virg","chor tene","crot pumi","cryp cras","cryp micr","dale brac","desc obtu","desc pinn","dith wisl","erag arid","erag cili","eria diff","erig dive","erio aber","erio lemm","erio poly","erod cicu","erod texa","esch mexi","euph exst","euph fend","euph micr","euph serp","euph serr","gili sinu","hapl grac","hete suba","ipom cost","kall cali","kall gran","kall hirs","laen coul","lapp redo","lepi lasi","lesq gord","lina bige","lina texa","lupi brev","lupi conc","mach tanr","mala fend","micr lene","moll cerv","moll vert","nama hisp","oeno prim","pani ariz","pani hirt","pani mili","pect papp","pect recu","phac ariz","plag ariz","plan purs","port parv","prob parv","pseu cane","sals kali","sanv aber","schi barb","sida spin","sisy irio","sola rost","sper echi","spha coul","step exig","tide lanu","trag bert","tria port","verb ence","vulp octo"
1981,"control","summer",0,0,0,0,0,0,0,0,0,0,0,0,308,274,0,0,0,0,52,0,0,6,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,120,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,18,0,0
1981,"exclosure","summer",0,0,0,0,4,0,0,0,0,0,0,0,226,400,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,244,2,0,0,108,0,0,292,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,72,0,4,0,0
1982,"control","summer",2,0,0,0,10,0,0,0,0,0,0,0,94,854,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
1982,"control","winter",0,0,0,0,0,0,16,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,46,34,0,0,708,0,0,0,1212,0,7712,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,394,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
1982,"exclosure","summer",0,0,0,0,68,0,0,0,0,0,0,0,94,1366,152,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
1982,"exclosure","winter",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,8,60,0,0,168,4,0,0,644,0,7480,0,0,12,0,0,0,0,0,0,0,108,4,0,0,0,0,0,0,0,96,52,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
1983,"control","summer",0,0,0,0,26,0,0,0,0,2,0,0,83,1081,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0
1983,"control","winter",0,0,0,0,0,2,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,68,85,0,0,717,0,0,0,1840,0,2904,0,0,0,0,108,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,43,0,4,0,0,0,0,0
1983,"exclosure","summer",0,0,0,0,95,0,0,0,0,4,0,0,66,1331,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,644,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,20,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
1983,"exclosure","winter",0,0,0,0,0,1,24,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,41,160,0,0,234,0,0,0,1683,14,3029,0,0,13,2,0,0,0,0,0,0,80,14,0,0,0,0,0,0,0,44,27,0,0,0,0,0,238,27,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
1984,"control","summer",0,0,0,0,0,0,0,0,0,72,0,0,2,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
1984,"control","winter",0,0,0,0,0,11,4,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,217,257,0,0,280,0,0,0,13646,160,294,0,0,0,0,0,0,0,0,0,0,23,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,149,9,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,65,0,19,0,0,0,0,0
1984,"exclosure","summer",0,0,0,0,8,0,0,0,0,43,0,0,7,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,34,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
1984,"exclosure","winter",0,0,0,0,0,32,22,0,0,156,0,0,0,0,0,0,0,35,0,0,0,0,482,172,0,0,64,0,0,0,16318,202,131,0,0,458,4,0,0,0,0,0,0,224,262,0,0,0,0,0,0,0,22,665,0,0,0,0,0,61,94,0,0,0,0,0,0,0,0,0,16,0,875,0,0,0,0,0,0,0,0,0,42,0,3,0,0,0,0,0
1985,"control","summer",0,0,0,0,0,0,0,0,0,100,0,0,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,74,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1985,"control","winter",0,0,0,0,0,5,0,0,0,304,0,0,0,0,0,0,0,4,0,0,0,0,70,68,0,0,192,0,0,0,2932,32,156,0,0,1,0,0,0,0,0,0,0,10,120,0,0,0,0,0,0,0,1,14,0,0,0,0,0,112,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27,0,46,0,0,0,0,0
1985,"exclosure","summer",0,0,0,0,3,0,0,0,0,37,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,142,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
1985,"exclosure","winter",0,0,0,0,0,6,33,0,0,149,0,0,0,0,0,0,0,30,0,0,0,0,137,98,0,0,104,0,0,0,2159,38,151,0,0,144,5,0,0,0,0,0,0,29,1049,0,0,0,0,0,0,0,9,131,0,0,0,0,0,88,123,0,0,0,0,0,0,0,0,0,10,0,186,0,0,0,0,0,0,0,0,0,55,0,14,0,0,0,0,0
1986,"control","summer",0,0,0,0,7,0,0,0,0,101,0,0,30,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,603,0,0,12,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
1986,"control","winter",0,0,0,0,0,0,11,0,0,275,0,0,0,0,0,0,0,11,0,0,0,0,15,15,0,0,33,0,0,0,599,62,263,0,0,1,1,138,0,0,0,0,0,0,1703,0,0,0,0,0,0,0,2,14,0,0,0,0,0,24,6,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,46,0,15,0,0,0,0,0
1986,"exclosure","summer",0,0,0,0,104,0,0,0,0,45,0,0,97,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,306,0,0,20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
1986,"exclosure","winter",0,0,0,0,0,4,46,0,0,160,0,0,0,0,0,0,0,41,0,0,0,0,5,26,0,0,14,0,0,0,306,67,362,0,0,235,24,0,0,0,0,0,0,2,2851,0,0,0,0,0,0,0,4,65,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,0,0,28,0,2,0,0,0,0,0
