"year","season","plot","species","abundance","quads","treatment"
1981,"summer",3,"boer torr",21,8,"exclosure"
1981,"summer",3,"bout aris",68,8,"exclosure"
1981,"summer",3,"chen frem",2,8,"exclosure"
1981,"summer",3,"crot pumi",1,8,"exclosure"
1981,"summer",3,"erio aber",72,8,"exclosure"
1981,"summer",3,"euph micr",1,8,"exclosure"
1981,"summer",3,"kall gran",1,8,"exclosure"
1981,"summer",3,"moll cerv",52,8,"exclosure"
1981,"summer",3,"moll vert",1,8,"exclosure"
1981,"summer",3,"pani ariz",36,8,"exclosure"
1981,"summer",3,"pect papp",55,8,"exclosure"
1981,"summer",3,"port parv",3,8,"exclosure"
1981,"summer",3,"tide lanu",7,8,"exclosure"
1981,"summer",4,"boer torr",75,8,"control"
1981,"summer",4,"bout aris",95,8,"control"
1981,"summer",4,"chen frem",11,8,"control"
1981,"summer",4,"erio aber",123,8,"control"
1981,"summer",4,"euph serr",3,8,"control"
1981,"summer",4,"pani ariz",10,8,"control"
1981,"summer",4,"pect papp",35,8,"control"
1981,"summer",4,"tide lanu",9,8,"control"
1981,"summer",10,"amar palm",1,8,"removal"
1981,"summer",10,"aris adsc",16,8,"removal"
1981,"summer",10,"boer torr",109,8,"removal"
1981,"summer",10,"bout aris",178,8,"removal"
1981,"summer",10,"chen frem",1,8,"removal"
1981,"summer",10,"erio aber",138,8,"removal"
1981,"summer",10,"euph exst",1,8,"removal"
1981,"summer",10,"euph micr",16,8,"removal"
1981,"summer",10,"euph serr",10,8,"removal"
1981,"summer",10,"kall gran",2,8,"removal"
1981,"summer",10,"moll cerv",90,8,"removal"
1981,"summer",10,"pani ariz",30,8,"removal"
1981,"summer",10,"pect papp",440,8,"removal"
1981,"summer",10,"tide lanu",34,8,"removal"
1981,"summer",10,"tria port",1,8,"removal"
1981,"summer",11,"boer torr",26,8,"control"
1981,"summer",11,"bout aris",15,8,"control"
1981,"summer",11,"chen frem",11,8,"control"
1981,"summer",11,"erio aber",106,8,"control"
1981,"summer",11,"kall gran",1,8,"control"
1981,"summer",11,"moll cerv",1,8,"control"
1981,"summer",11,"pani ariz",18,8,"control"
1981,"summer",11,"pect papp",180,8,"control"
1981,"summer",11,"tide lanu",8,8,"control"
1981,"summer",11,"tria port",3,8,"control"
1981,"summer",14,"boer torr",32,8,"control"
1981,"summer",14,"bout aris",9,8,"control"
1981,"summer",14,"crot pumi",2,8,"control"
1981,"summer",14,"erio aber",87,8,"control"
1981,"summer",14,"kall gran",1,8,"control"
