Species,Mean Seed Mass (mg),Functional Group
Nuttallanthus texanus,0.02,Forb
Cryptantha micrantha,0.02,Forb
Erigeron divergens,0.03,Forb
Descurainia pinnata,0.1,Forb
Malacothrix fendleri,0.1,Forb
Machaeranthera gracilis,0.18,Forb
Eriastrum diffusum,0.19,Forb
Eriogonum abertianum,0.22,Forb
Cryptantha crassisepala,0.3,Forb
Lepidium lasiocarpum,0.3,Forb
Gilia sinuata,0.31,Forb
Vulpia octoflora,0.38,Grass
Chenopodium fremontii,0.39,Forb
Baileya multiradiata,0.43,Forb
Chaenactis stevioides,0.47,Forb
Spermolepis echinata,0.62,Forb
Stephanomeria exigua,0.64,Forb
Panicum hirticaule,0.71,Grass
Phacelia popei,0.71,Forb
Calycoseris wrightii,0.72,Forb
Lesquerella gordonii,0.77,Forb
Pectocarya recurvata,0.95,Forb
Erodium cicutariumʠ,0.99,Forb
Plantago purshii,1.19,Forb
Eschscholzia californica,1.5,Forb
Astragalus nuttallianus,1.53,Forb
Microseris lindleyi,1.55,Forb
Amsinckia intermedia,1.61,Forb
Lappula redowskii,1.73,Forb
Eriochloa lemmonii,1.75,Grass
Plagiobothrys arizonicus,1.83,Forb
Oenothera primiveris,2.32,Forb
Erodium texanum,2.51,Forb
Dimorphocarpa wislizeni,3.2,Forb
Ambrosia artemisiifolia,3.99,Forb
Astragalus allochrous,4.7,Forb
Lupinus concinnus,7.5,Forb
