"year","season","plot","species","abundance","quads","treatment"
1982,"winter",3,"cryp micr",14,8,"exclosure"
1982,"winter",3,"desc pinn",35,8,"exclosure"
1982,"winter",3,"dith wisl",1,8,"exclosure"
1982,"winter",3,"eria diff",101,8,"exclosure"
1982,"winter",3,"erio aber",1497,8,"exclosure"
1982,"winter",3,"gili sinu",27,8,"exclosure"
1982,"winter",3,"lepi lasi",2,8,"exclosure"
1982,"winter",3,"lesq gord",1,8,"exclosure"
1982,"winter",3,"mala fend",83,8,"exclosure"
1982,"winter",3,"phac ariz",5,8,"exclosure"
1982,"winter",3,"sper echi",1,8,"exclosure"
1982,"winter",4,"cryp cras",6,8,"control"
1982,"winter",4,"cryp micr",3,8,"control"
1982,"winter",4,"desc pinn",135,8,"control"
1982,"winter",4,"eria diff",58,8,"control"
1982,"winter",4,"erio aber",1364,8,"control"
1982,"winter",4,"mala fend",86,8,"control"
1982,"winter",4,"phac ariz",2,8,"control"
1982,"winter",10,"cryp cras",26,8,"removal"
1982,"winter",10,"cryp micr",5,8,"removal"
1982,"winter",10,"desc pinn",14,8,"removal"
1982,"winter",10,"eria diff",1183,8,"removal"
1982,"winter",10,"erig dive",3,8,"removal"
1982,"winter",10,"erio aber",851,8,"removal"
1982,"winter",10,"erod cicu",7,8,"removal"
1982,"winter",10,"hapl grac",13,8,"removal"
1982,"winter",10,"lepi lasi",3,8,"removal"
1982,"winter",10,"mala fend",39,8,"removal"
1982,"winter",10,"phac ariz",2,8,"removal"
1982,"winter",11,"cryp cras",5,8,"control"
1982,"winter",11,"cryp micr",14,8,"control"
1982,"winter",11,"desc pinn",56,8,"control"
1982,"winter",11,"eria diff",479,8,"control"
1982,"winter",11,"erio aber",1477,8,"control"
1982,"winter",11,"gili sinu",2,8,"control"
1982,"winter",11,"lesq gord",1,8,"control"
1982,"winter",11,"mala fend",44,8,"control"
1982,"winter",11,"phac ariz",27,8,"control"
1982,"winter",14,"cryp cras",4,8,"control"
1982,"winter",14,"desc pinn",99,8,"control"
1982,"winter",14,"eria diff",14,8,"control"
1982,"winter",14,"erio aber",622,8,"control"
1982,"winter",14,"mala fend",35,8,"control"
1982,"winter",14,"phac ariz",14,8,"control"
1982,"winter",14,"sper echi",3,8,"control"
1982,"winter",16,"astr nutt",1,8,"removal"
1982,"winter",16,"bail mult",1,8,"removal"
1982,"winter",16,"cryp cras",4,8,"removal"
1982,"winter",16,"cryp micr",5,8,"removal"
1982,"winter",16,"desc pinn",53,8,"removal"
1982,"winter",16,"eria diff",92,8,"removal"
1982,"winter",16,"erio aber",386,8,"removal"
1982,"winter",16,"erod cicu",15,8,"removal"
1982,"winter",16,"mala fend",78,8,"removal"
1982,"winter",16,"nama hisp",4,8,"removal"
1982,"winter",16,"sper echi",4,8,"removal"
1982,"winter",17,"astr nutt",8,8,"control"
1982,"winter",17,"bail mult",6,8,"control"
1982,"winter",17,"cryp cras",8,8,"control"
1982,"winter",17,"desc pinn",64,8,"control"
1982,"winter",17,"eria diff",55,8,"control"
1982,"winter",17,"erio aber",393,8,"control"
1982,"winter",17,"mala fend",32,8,"control"
1982,"winter",17,"phac ariz",18,8,"control"
1982,"winter",17,"sper echi",5,8,"control"
1982,"winter",19,"bail mult",5,8,"exclosure"
1982,"winter",19,"cryp cras",2,8,"exclosure"
1982,"winter",19,"cryp micr",1,8,"exclosure"
1982,"winter",19,"desc pinn",7,8,"exclosure"
1982,"winter",19,"eria diff",60,8,"exclosure"
1982,"winter",19,"erio aber",373,8,"exclosure"
1982,"winter",19,"erod cicu",3,8,"exclosure"
1982,"winter",19,"hapl grac",1,8,"exclosure"
1982,"winter",19,"lepi lasi",22,8,"exclosure"
1982,"winter",19,"lesq gord",12,8,"exclosure"
1982,"winter",19,"mala fend",16,8,"exclosure"
1982,"winter",19,"phac ariz",36,8,"exclosure"
1982,"winter",23,"astr allo",3,8,"removal"
1982,"winter",23,"bail mult",1,8,"removal"
1982,"winter",23,"chae stev",1,8,"removal"
1982,"winter",23,"chen frem",2,8,"removal"
1982,"winter",23,"cryp cras",5,8,"removal"
1982,"winter",23,"cryp micr",31,8,"removal"
1982,"winter",23,"desc pinn",73,8,"removal"
1982,"winter",23,"eria diff",280,8,"removal"
1982,"winter",23,"erio aber",504,8,"removal"
1982,"winter",23,"hapl grac",6,8,"removal"
1982,"winter",23,"lepi lasi",2,8,"removal"
1982,"winter",23,"lesq gord",3,8,"removal"
1982,"winter",23,"mala fend",23,8,"removal"
1982,"winter",23,"phac ariz",12,8,"removal"
1982,"winter",23,"plan purs",2,8,"removal"
1982,"winter",23,"sper echi",2,8,"removal"
1983,"winter",3,"bail mult",2,16,"exclosure"
1983,"winter",3,"cryp cras",5,16,"exclosure"
1983,"winter",3,"cryp micr",121,16,"exclosure"
1983,"winter",3,"desc pinn",131,16,"exclosure"
1983,"winter",3,"eria diff",343,16,"exclosure"
1983,"winter",3,"erig dive",10,16,"exclosure"
1983,"winter",3,"erio aber",947,16,"exclosure"
1983,"winter",3,"erod cicu",2,16,"exclosure"
1983,"winter",3,"erod texa",1,16,"exclosure"
1983,"winter",3,"gili sinu",73,16,"exclosure"
1983,"winter",3,"lepi lasi",1,16,"exclosure"
1983,"winter",3,"lesq gord",1,16,"exclosure"
1983,"winter",3,"mala fend",135,16,"exclosure"
1983,"winter",3,"micr lene",7,16,"exclosure"
1983,"winter",3,"phac ariz",2,16,"exclosure"
1983,"winter",3,"sper echi",14,16,"exclosure"
1983,"winter",4,"astr allo",1,16,"control"
1983,"winter",4,"bail mult",5,16,"control"
1983,"winter",4,"cryp cras",10,16,"control"
1983,"winter",4,"cryp micr",27,16,"control"
1983,"winter",4,"desc pinn",181,16,"control"
1983,"winter",4,"eria diff",262,16,"control"
1983,"winter",4,"erio aber",1136,16,"control"
1983,"winter",4,"esch mexi",108,16,"control"
1983,"winter",4,"gili sinu",4,16,"control"
1983,"winter",4,"mala fend",134,16,"control"
1983,"winter",4,"micr lene",1,16,"control"
1983,"winter",4,"phac ariz",8,16,"control"
1983,"winter",4,"sper echi",7,16,"control"
1983,"winter",4,"step exig",4,16,"control"
1983,"winter",10,"astr allo",5,16,"removal"
1983,"winter",10,"astr nutt",2,16,"removal"
1983,"winter",10,"bail mult",9,16,"removal"
1983,"winter",10,"cryp cras",7,16,"removal"
1983,"winter",10,"cryp micr",27,16,"removal"
1983,"winter",10,"desc pinn",97,16,"removal"
1983,"winter",10,"eria diff",4981,16,"removal"
1983,"winter",10,"erig dive",3,16,"removal"
1983,"winter",10,"erio aber",1535,16,"removal"
1983,"winter",10,"erod cicu",13,16,"removal"
1983,"winter",10,"gili sinu",3,16,"removal"
1983,"winter",10,"hapl grac",12,16,"removal"
1983,"winter",10,"lesq gord",14,16,"removal"
1983,"winter",10,"mala fend",90,16,"removal"
1983,"winter",10,"micr lene",8,16,"removal"
1983,"winter",10,"phac ariz",6,16,"removal"
1983,"winter",10,"plan purs",6,16,"removal"
1983,"winter",10,"sper echi",11,16,"removal"
1983,"winter",11,"bail mult",10,16,"control"
1983,"winter",11,"cryp cras",27,16,"control"
1983,"winter",11,"cryp micr",54,16,"control"
1983,"winter",11,"desc pinn",131,16,"control"
1983,"winter",11,"eria diff",1371,16,"control"
1983,"winter",11,"erio aber",437,16,"control"
1983,"winter",11,"gili sinu",1,16,"control"
1983,"winter",11,"hapl grac",1,16,"control"
1983,"winter",11,"mala fend",40,16,"control"
1983,"winter",11,"phac ariz",13,16,"control"
1983,"winter",11,"sper echi",1,16,"control"
1983,"winter",14,"astr allo",1,16,"control"
1983,"winter",14,"astr nutt",3,16,"control"
1983,"winter",14,"bail mult",1,16,"control"
1983,"winter",14,"cryp cras",13,16,"control"
1983,"winter",14,"cryp micr",1,16,"control"
1983,"winter",14,"desc pinn",124,16,"control"
1983,"winter",14,"eria diff",43,16,"control"
1983,"winter",14,"erio aber",845,16,"control"
1983,"winter",14,"mala fend",40,16,"control"
1983,"winter",14,"phac ariz",46,16,"control"
1983,"winter",14,"sper echi",19,16,"control"
1983,"winter",15,"astr allo",1,16,"exclosure"
1983,"winter",15,"astr nutt",4,16,"exclosure"
1983,"winter",15,"bail mult",3,16,"exclosure"
1983,"winter",15,"cryp cras",21,16,"exclosure"
1983,"winter",15,"desc pinn",30,16,"exclosure"
1983,"winter",15,"eria diff",18,16,"exclosure"
1983,"winter",15,"erio aber",430,16,"exclosure"
1983,"winter",15,"gili sinu",2,16,"exclosure"
1983,"winter",15,"mala fend",10,16,"exclosure"
1983,"winter",15,"micr lene",1,16,"exclosure"
1983,"winter",15,"phac ariz",26,16,"exclosure"
1983,"winter",15,"sper echi",4,16,"exclosure"
1983,"winter",16,"astr allo",1,16,"removal"
1983,"winter",16,"astr nutt",1,16,"removal"
1983,"winter",16,"bail mult",1,16,"removal"
1983,"winter",16,"cryp cras",9,16,"removal"
1983,"winter",16,"cryp micr",23,16,"removal"
1983,"winter",16,"desc pinn",85,16,"removal"
