"","speciescode","axis1_rank","waxis1"
"1","eria.diff",1,-0.365429460355988
"2","hapl.grac",2,-0.35054229741103
"3","esch.mexi",3,-0.332093332137871
"4","step.exig",4,-0.325367790736331
"5","erig.dive",5,-0.322972959283459
"6","sisy.irio",6,0.320042024975225
"7","ambr.arte",7,0.316556531132383
"8","sida.spin",8,0.31465013376209
"9","amsi.tess",9,0.312544311958751
"10","pect.recu",10,0.308469611304087
"11","desc.obtu",11,0.302524029570021
"12","bail.mult",12,-0.298050559996705
"13","gili.sinu",13,-0.289104643155275
"14","cryp.cras",14,-0.287755457424104
"15","crot.pumi",15,0.287459894715444
"16","laen.coul",16,0.287459894715444
"17","erod.cicu",17,0.285357217606518
"18","astr.allo",18,-0.277012243335683
"19","cryp.micr",19,-0.273666190878528
"20","lina.bige",20,0.272422400958386
"21","mala.fend",21,-0.271551552635534
"22","lapp.redo",22,0.270764452838305
"23","lupi.brev",23,0.252666000773581
"24","sals.kali",24,0.252666000773581
"25","lesq.gord",25,0.249969592109674
"26","dith.wisl",26,-0.224912866174051
"27","astr.nutt",27,0.19868293684191
"28","caly.wrig",28,-0.19823056063128
"29","sper.echi",29,-0.196626820226704
"30","micr.lene",30,-0.188469160269883
"31","vulp.octo",31,-0.18739899975131
"32","erag.cili",32,0.186676178907349
"33","chae.stev",33,0.184754486663593
"34","erod.texa",34,-0.172893808829454
"35","desc.pinn",35,-0.148678292336861
"36","pani.hirt",36,0.129736729451722
"37","plag.ariz",37,-0.128349237440314
"38","lupi.conc",38,-0.127924127386368
"39","dale.brac",39,0.118800011777382
"40","lepi.lasi",40,0.114677014336365
"41","chen.frem",41,0.107171675601374
"42","oeno.prim",42,0.0856238828232578
"43","schi.barb",43,0.0329936308190934
"44","erio.aber",44,0.0187785424831023
"45","phac.ariz",45,0.0176587010680363
"46","plan.purs",46,-0.0148460814371361
"47","chor.tene",47,0.00928935792657017
