"year","WinterPCoAxis_1","WinterPCoAxis_2","WinterPCoAxis_3"
1982,-0.145551817837074,0.0946961759649956,0.0628516356852582
1983,-0.294350354033028,0.0594379447821706,0.0367383653869361
1984,-0.418613926379179,0.101889327892952,-0.0208024330626812
1985,-0.438850845600772,0.138966485392865,-0.00590078375226103
1986,-0.335296699483015,0.173497090212666,-0.00494893897230747
1987,-0.446945838266133,0.0205771245660902,-0.0360545441740296
1988,-0.361260671262798,0.0388510748121122,-0.0595886919123043
1989,-0.36251733747115,0.0795598347836917,-0.0458023807663132
1990,-0.00535053565176372,0.543867552282542,0.224037525834132
1991,-0.214820894150124,-0.228141781510076,0.073189402530354
1992,-0.310748649925414,-0.112961677772508,-0.0884090850495939
1993,-0.28727340141522,-0.186851461149122,-0.0516688267854776
1994,-0.252752608415037,-0.155577258783893,-0.0522404844988253
1995,-0.150254744793407,-0.315460290622231,0.0811045962227386
1997,0.00928935792657017,-0.261112800432245,0.0716167828783757
1998,0.0396290006658757,-0.188072070626961,-0.0742964437066017
1999,0.118032053516033,0.173247880794644,0.00872969323508436
2001,0.18214085310207,-0.23715563239017,0.0709336668192048
2002,0.229707643235794,0.208553378400375,-0.496651324085362
2003,0.320042024975225,0.0876259472508514,-0.3995720852806
2004,0.224818571079628,-0.0952572043489226,-0.121884771454371
2005,0.34114651787465,0.020207313299206,0.00807823525630995
2007,0.35100042374808,0.00537617578614343,-0.336389586710589
2008,0.317240642909293,0.00840015893204654,-0.369805146712178
2009,0.26219002189157,0.279914597725001,0.226210238610704
2012,0.316556531132383,-0.166160319971102,0.181593474939355
2013,0.271342474468475,0.422409529426499,0.30021715989136
2014,0.31465013376209,-0.181671864257213,0.213708659232865
2015,0.287459894715444,-0.152268695989636,0.235216217348332
2016,0.186676178907349,-0.00453163610273502,0.149597449108854
2017,0.252666000773581,-0.171854898348037,0.220192423943629
